Feature ID,lfc
Lin54,0.358907269
Gm16854,0.358111783
Gm12185,0.357807317
Rgs1,0.356874653
Ints6,0.356371048
Ufsp1,0.355741557
Ranbp1,0.354927262
Xrcc6bp1,0.35426845
Ecsit,0.354183606
Snx10,0.354033374
Klhl6,0.353967928
Gde1,0.353331697
Galnt1,0.353027194
Irf2,0.352994955
Mterfd1,0.351436401
Gm16163,0.35131404
RP23-115A1.10,0.349667742
Cflar,0.349137507
Il6st,0.348898802
Uck2 (1 169153957..169154050),0.345854338
4930481A15Rik,0.345773972
Vgll4,0.345352003
Zbed3,0.345195125
Bcl2l1,0.345165008
Trim30c,0.344645097
Gm9766,0.343998251
1810037I17Rik,0.343127854
1600012F09Rik,0.342475067
Ndfip1,0.341213077
Rassf3,0.340224568
Ssb,0.339815426
Tmed2,0.338591773
Dnajc25,0.337952685
Dpy19l4,0.336631605
Ccdc126,0.33619257
Tbk1,0.336158569
Gpr35,0.336083779
Neurl1a,0.335610998
Prdx6,0.335502354
Slfn1,0.334001018
Zfp652,0.333425411
Cebpd,0.332510106
Igfbp7,0.331805106
Pdcd10,0.331796933
Hnrnpa0,0.33179594
AC154861.1,0.331272325
Bclaf1,0.330624658
Thap2,0.330607489
Ccl5,0.330276538
Egln2,0.329762532
Nmb,0.329681485
Usp1,0.329291185
Lrg1,0.329268369
Ppap2a,0.329185325
Ddhd1,0.329149142
Rpap3,0.32865512
Gadd45g,0.328593841
Gm13139,0.328581255
H1f0,0.32829263
Gm4955,0.328130187
1110001A16Rik,0.327882725
Mrps18c,0.327820809
Chsy1,0.327820672
Ada,0.327784671
Rab5a,0.326219207
Gm9846,0.326189967
Cetn3,0.325995924
Rgs14,0.325667459
Fcho2,0.324655993
Apobec3,0.324089904
Mrpl52,0.323583452
2610101N10Rik,0.321569598
Serp1,0.321241425
Ddi2,0.320422281
Taf1d,0.320026091
Cd164,0.31880726
Ccl9,0.318787295
Ifi202b,0.318627375
Arc,0.318552467
Nmd3,0.318548097
1190002H23Rik,0.318370004
Mon2,0.318094683
Rsad2,0.318078854
Tbc1d14,0.317756689
Saa3,0.317476585
9930021J03Rik (19 29828219..29879819),0.317109027
Stx7,0.317022272
Zfp800,0.316679536
Gm9396,0.316076542
Tceal8,0.316074909
1700066M21Rik,0.315740726
Rbm47,0.314968864
Gm16556,0.314794319
8430426H19Rik,0.314752306
Tmem70,0.313796766
Slfn10-ps,0.31290873
Ifi204,0.312647135
Cd33,0.312349755
BC024479,0.311769728
Jak2,0.310925424
Lnpep,0.310742309
Rpa3,0.310138787
Srgn,0.309668298
Rnf185,0.308144554
Tbc1d19,0.307710703
Dirc2,0.307657593
Rffl,0.30730378
Sh3pxd2b,0.307268073
6720401G13Rik,0.306794886
Fas,0.305964702
Edem3,0.305707811
Ccdc59,0.304961109
Spast,0.304624347
Eif2ak2,0.304391843
Gm9796,0.304387057
Rnf19b,0.304083944
Acyp1,0.30339556
Wdr92,0.303287414
Spop,0.303117616
Dcn,0.302911162
Klf13,0.302324525
Odf2l,0.302028
Isca1,0.301309039
Bola3,0.301056883
Trim30d,0.30085232
Chchd7,0.300750048
Rhod,0.300352245
C430048L16Rik,0.300106016
Dennd4c,0.299997599
BC037034,0.299704785
Cdk20,0.299665659
Ctla2b,0.299654621
Srsf6,0.299494385
AL929166.1,0.299427092
Sbf2,0.299228928
Glul,0.298897338
Iigp1,0.298062554
Gm10132,0.298053171
Csda,0.297934759
Haus1,0.297870613
Rpl37a,0.297573823
Setdb2,0.297565271
Zscan29,0.29694367
Itga4,0.296478177
Sarnp,0.296121966
Ndufc1,0.296083626
Basp1,0.295913385
E130102H24Rik,0.295000523
Col1a1,0.294932031
Psmd12,0.294568075
Cmpk2,0.294533281
D230037D09Rik,0.294511521
5730528L13Rik,0.294303362
E130311K13Rik,0.294186776
Ttc14,0.293717302
Phlda3,0.293403717
Ccnh,0.292927052
Gm9949,0.292836876
Zfp251,0.292102402
Ndc80,0.2920835
Gkap1,0.291989784
Gm6377,0.291288903
Arid5b,0.290946328
Pcbd2,0.290694023
Mrpl40,0.29060353
2810408I11Rik,0.289884887
AL669948.1,0.28987498
S100a10,0.289860544
Hscb,0.289286385
Ldhd,0.288719851
Arl15,0.288643009
Gm13009,0.287941168
Adam19,0.287719544
Slc25a25,0.287276335
Zfp719,0.286814764
Zfp677,0.286313109
Pmaip1,0.285756054
Usp3,0.285493212
AC149055.3,0.285003665
Xrn1,0.284272366
E030037K03Rik,0.283849549
Fam188a,0.283137228
D030056L22Rik,0.283130496
Eif1ax,0.282396132
Ube2q2,0.281828033
Tdp2,0.281723209
Fgd4,0.281414596
Gm10123,0.281212383
Rsbn1,0.280962266
Pptc7,0.280780834
Cmpk1,0.280737701
Avpi1,0.280608776
Vbp1,0.280593142
Sep15,0.280239574
Zfp53,0.279791996
Kbtbd2,0.279630868
Ifih1,0.279524588
Slc41a2,0.279281469
Fam116a,0.279192681
Taf4a,0.27881824
Mafk,0.278439169
Ankrd49,0.278221662
Trim13,0.27812998
Trp53inp2,0.278000831
Enho,0.277991951
Tpm2,0.27777244
Prpf40a,0.277767215
Ranbp2,0.277735393
Cenpw,0.27716002
Tomm70a,0.275488842
Ttc39c,0.275076689
B3galnt1,0.275058118
Uqcrb,0.274922861
Relt,0.274841918
Ms4a4c,0.274724196
Aasdhppt,0.274706011
Utp11l,0.274129363
Smc5,0.273964989
Ptger4,0.273535888
Gm8017,0.273214567
Kif15,0.273080192
Klhl24,0.272930351
Cacybp,0.27246423
2610024G14Rik,0.272452938
Pts,0.272254498
Nit2,0.272182307
6530401N04Rik,0.271983343
Erp44,0.271841845
mt-Nd4l,0.271724091
Llph,0.271119209
2010107H07Rik,0.270913719
Snx5,0.270698616
Ifit2,0.270599543
AC158386.1,0.270015628
Kif3b,0.269818763
Rps25,0.269759942
Ebag9,0.269731909
Pnrc2,0.269479662
Xpot,0.269015661
Ccdc107,0.268927159
Tnfrsf11a,0.268701332
BC003267,0.268679662
Fam165b,0.268620266
Ndufs5,0.268536764
Znhit2-ps,0.268420214
D11Wsu99e,0.268372715
Thap1,0.268275221
Gnptab,0.267886307
Uck2 (1 169156220..169215258),0.267789176
Rpl10,0.267707911
AA467197,0.267570424
Brp44,0.267550383
C330006D17Rik,0.267001507
Ibtk,0.26689518
Zcrb1,0.266771424
Pus10,0.266331538
Sp100,0.26562451
Rpl9-ps6,0.26557394
Vcl,0.265446174
Tmem19,0.265340562
B230307C23Rik,0.265104641
Smurf2,0.264286948
Arglu1,0.264166714
Cep78,0.264060676
Gm9843,0.26345144
Rpe,0.26326876
Sft2d3,0.262879965
Alg5,0.262829556
Rpain,0.26251083
Pcmtd2,0.262339944
Crnkl1,0.261787359
Psip1,0.261753184
Pdcd5,0.261381467
Slmap,0.261120895
Pla2g7,0.261045764
Rbks,0.260970034
AC087117.1,0.260964108
Dek,0.260937795
Gm684,0.26076924
Mrps36,0.260695055
Gm7589,0.260272672
BC017647,0.26024565
Prpf39,0.259976826
Pik3c2a,0.259856603
Gm4285,0.259650193
Adap2,0.2592508
Rpl24,0.2591484
Vcam1,0.259002333
Ccdc43,0.258568688
Utp14a,0.258320683
1700020L24Rik,0.258202626
Gda,0.258196543
Gng2,0.258170872
Arhgap27,0.257852183
Glrx,0.257780678
Prkrir,0.257664689
Exosc1,0.257543223
Mzt1,0.257332
BC100530,0.25725247
Gm9746,0.256503847
2810453I06Rik (5 144309573..144325393),0.256135224
Ccdc34,0.255965459
Cbx3,0.255227897
Ccdc111,0.255158765
Atl3,0.254734265
Endog,0.254060182
Mphosph10,0.253876212
Tcp11l2,0.253834192
Galnt7,0.253560057
Wibg,0.25344173
Med7,0.253318898
Rab10,0.253238163
Glud1,0.253171167
Larp4,0.253043102
Tfb2m,0.253035384
Il27,0.252787228
Gm11428,0.252509599
Dstyk,0.252305964
Tspyl2,0.252285202
Mtdh,0.252147671
Sgpp1,0.252132106
Ap1s2,0.251874795
1200011M11Rik,0.251810981
E2f5,0.251563098
Ppp5c,0.251223071
Pyhin1,0.2511466
Ppid,0.251093963
Fkbp7,0.250935829
